ntoskrnl_1                                            00000001404CDABC 1      
ntoskrnl_2                                            0000000140147FF0 2      
ntoskrnl_3                                            00000001401205A0 3      
AlpcGetHeaderSize                                     00000001400062C4 4      
AlpcGetMessageAttribute                               0000000140006160 5      
AlpcInitializeMessageAttribute                        000000014000626C 6      
BgkDisplayCharacter                                   00000001407290A8 7      
BgkGetConsoleState                                    0000000140729154 8      
BgkGetCursorState                                     000000014072918C 9      
BgkSetCursor                                          00000001407291E0 10     
CcAddDirtyPagesToExternalCache                        0000000140121D4C 11     
CcAsyncCopyRead                                       00000001400E8F8C 12     
CcCanIWrite                                           0000000140050CF0 13     
CcCoherencyFlushAndPurgeCache                         0000000140054664 14     
CcCopyRead                                            00000001405004B8 15     
CcCopyReadEx                                          000000014009D7C0 16     
CcCopyWrite                                           00000001401B2A64 17     
CcCopyWriteEx                                         000000014009C7B0 18     
CcCopyWriteWontFlush                                  000000014009C5A0 19     
CcDeductDirtyPagesFromExternalCache                   0000000140121CA8 20     
CcDeferWrite                                          00000001401B2A84 21     
CcFastCopyRead                                        00000001405FC7E0 22     
CcFastCopyWrite                                       00000001401B2B58 23     
CcFastMdlReadWait                                     000000014031FDA8 24     
CcFlushCache                                          0000000140054734 25     
CcFlushCacheToLsn                                     00000001400FDA80 26     
CcGetCachedDirtyPageCountForFile                      00000001401B2FB0 27     
CcGetDirtyPages                                       000000014008C500 28     
CcGetFileObjectFromBcb                                00000001401B26B4 29     
CcGetFileObjectFromSectionPtrs                        00000001401B26C4 30     
CcGetFileObjectFromSectionPtrsRef                     000000014012089C 31     
CcGetFlushedValidData                                 00000001400ED500 32     
CcGetLsnForFileObject                                 00000001401B2FC8 33     
CcInitializeCacheMap                                  00000001400FA374 34     
CcInitializeCacheMapEx                                000000014008AAC0 35     
CcIsThereDirtyData                                    00000001401B3084 36     
CcIsThereDirtyDataEx                                  00000001401B3184 37     
CcIsThereDirtyLoggedPages                             00000001400E5500 38     
CcMapData                                             0000000140494CD0 39     
CcMdlRead                                             00000001404DAC6C 40     
CcMdlReadComplete                                     00000001404F3CE4 41     
CcMdlWriteAbort                                       00000001401B3458 42     
CcMdlWriteComplete                                    0000000140501344 43     
CcPinMappedData                                       00000001404948A0 44     
CcPinRead                                             00000001404D5C20 45     
CcPrepareMdlWrite                                     00000001400F6F4C 46     
CcPreparePinWrite                                     00000001404DF778 47     
CcPurgeCacheSection                                   0000000140053A60 48     
CcRegisterExternalCache                               00000001401B2908 49     
CcRemapBcb                                            00000001400D6E40 50     
CcRepinBcb                                            00000001401B2D18 51     
CcScheduleReadAhead                                   00000001401B2D78 52     
CcScheduleReadAheadEx                                 000000014004F400 53     
CcSetAdditionalCacheAttributes                        0000000140089CDC 54     
CcSetAdditionalCacheAttributesEx                      0000000140089C18 55     
CcSetBcbOwnerPointer                                  00000001405FC8B0 56     
CcSetDirtyPageThreshold                               00000001401B2710 57     
CcSetDirtyPinnedData                                  000000014004A870 58     
CcSetFileSizes                                        00000001400FAF4C 59     
CcSetFileSizesEx                                      00000001400899CC 60     
CcSetLogHandleForFile                                 00000001401B3218 61     
CcSetLogHandleForFileEx                               00000001400EB274 62     
CcSetLoggedDataThreshold                              00000001401009F8 63     
CcSetParallelFlushFile                                000000014008A570 64     
CcSetReadAheadGranularity                             00000001400E9978 65     
CcSetReadAheadGranularityEx                           00000001401B2D80 66     
CcTestControl                                         0000000140139628 67     
CcUninitializeCacheMap                                000000014004ADD0 68     
CcUnmapFileOffsetFromSystemCache                      00000001400EC04C 69     
CcUnpinData                                           0000000140493520 70     
CcUnpinDataForThread                                  00000001405FC8FC 71     
CcUnpinRepinnedBcb                                    00000001401B2DC4 72     
CcUnregisterExternalCache                             00000001401B29A0 73     
CcWaitForCurrentLazyWriterActivity                    00000001400FDCC0 74     
CcZeroData                                            00000001404EC5E0 75     
CcZeroDataOnDisk                                      00000001400F0064 76     
CmCallbackGetKeyObjectID                              00000001405FE794 77     
CmCallbackGetKeyObjectIDEx                            0000000140469FAC 78     
CmCallbackReleaseKeyObjectIDEx                        00000001404EF54C 79     
CmGetBoundTransaction                                 00000001404FFB38 80     
CmGetCallbackVersion                                  00000001405FE874 81     
CmKeyObjectType                                       00000001403A7220 82     
CmRegisterCallback                                    0000000140565400 83     
CmRegisterCallbackEx                                  000000014053A394 84     
CmSetCallbackObjectContext                            00000001405FE888 85     
CmUnRegisterCallback                                  00000001405FEA18 86     
DbgBreakPoint                                         000000014014FB60 87     
DbgBreakPointWithStatus                               000000014014FB80 88     
DbgCommandString                                      0000000140136588 89     
DbgLoadImageSymbols                                   00000001400F6A38 90     
DbgPrint                                              00000001400CD0F4 91     
DbgPrintEx                                            00000001400CD0BC 92     
DbgPrintReturnControlC                                000000014020BC94 93     
DbgPrompt                                             000000014020BCD4 94     
DbgQueryDebugFilterState                              000000014020BD10 95     
DbgSetDebugFilterState                                000000014012D064 96     
DbgSetDebugPrintCallback                              000000014020BD18 97     
DbgkLkmdRegisterCallback                              0000000140560E10 98     
DbgkLkmdUnregisterCallback                            000000014061DB14 99     
DbgkWerCaptureLiveKernelDump                          000000014061E460 100    
EmClientQueryRuleState                                00000001403C43F0 101    
EmClientRuleDeregisterNotification                    000000014061F3B0 102    
EmClientRuleEvaluate                                  00000001403C44E0 103    
EmClientRuleRegisterNotification                      000000014061F4B0 104    
EmProviderDeregister                                  000000014061F734 105    
EmProviderDeregisterEntry                             000000014061F900 106    
EmProviderRegister                                    000000014054434C 107    
EmProviderRegisterEntry                               000000014061F988 108    
EmpProviderRegister                                   0000000140544370 109    
EtwActivityIdControl                                  00000001400E56D0 110    
EtwEnableTrace                                        0000000140507C28 111    
EtwEventEnabled                                       000000014008EC50 112    
EtwProviderEnabled                                    0000000140055804 113    
EtwRegister                                           000000014052E96C 114    
EtwRegisterClassicProvider                            000000014050C82C 115    
EtwSendTraceBuffer                                    000000014021F8FC 116    
EtwSetInformation                                     000000014052D50C 117    
EtwUnregister                                         000000014052D2D8 118    
EtwWrite                                              0000000140085900 119    
EtwWriteEndScenario                                   000000014052CD00 120    
EtwWriteEx                                            0000000140085940 121    
EtwWriteStartScenario                                 000000014052C1DC 122    
EtwWriteString                                        000000014021F258 123    
EtwWriteTransfer                                      00000001400068DC 124    
ExAcquireAutoExpandPushLockExclusive                  00000001400DF2E0 125    
ExAcquireAutoExpandPushLockShared                     00000001400097E0 126    
ExAcquireCacheAwarePushLockExclusive                  0000000140009A80 127    
ExAcquireCacheAwarePushLockExclusiveEx                000000014022766C 128    
ExAcquireCacheAwarePushLockSharedEx                   0000000140009CC0 129    
ExAcquireFastMutex                                    000000014002CBF0 130    
ExAcquireFastMutexUnsafe                              0000000140046710 131    
ExAcquirePushLockExclusiveEx                          0000000140009E80 132    
ExAcquirePushLockSharedEx                             000000014000A0B0 133    
ExAcquireResourceExclusiveLite                        00000001400AC640 134    
ExAcquireResourceSharedLite                           00000001400AC9F0 135    
ExAcquireRundownProtection                            00000001400B46E0 136    
ExAcquireRundownProtectionCacheAware                  00000001400D6760 137    
ExAcquireRundownProtectionCacheAwareEx                0000000140045B10 138    
ExAcquireRundownProtectionEx                          0000000140045B50 139    
ExAcquireSharedStarveExclusive                        000000014009F130 140    
ExAcquireSharedWaitForExclusive                       00000001401201A8 141    
ExAcquireSpinLockExclusive                            00000001400B10F0 142    
ExAcquireSpinLockExclusiveAtDpcLevel                  00000001400851D0 143    
ExAcquireSpinLockShared                               000000014003F640 144    
ExAcquireSpinLockSharedAtDpcLevel                     0000000140025640 145    
ExAllocateAutoExpandPushLock                          0000000140122AA8 146    
ExAllocateCacheAwarePushLock                          00000001400FFD58 147    
ExAllocateCacheAwareRundownProtection                 000000014042A438 148    
ExAllocatePool                                        00000001400FACE8 149    
ExAllocatePoolWithQuota                               0000000140226DB0 150    
ExAllocatePoolWithQuotaTag                            000000014003B1B0 151    
ExAllocatePoolWithTag                                 000000014024BA40 152    
ExAllocatePoolWithTagPriority                         0000000140020F70 153    
ExAllocateTimer                                       0000000140120588 154    
ExBlockOnAddressPushLock                              0000000140008390 155    
ExBlockPushLock                                       0000000140008430 156    
ExCancelTimer                                         00000001400BB1BC 157    
ExCleanupAutoExpandPushLock                           00000001400E1D20 158    
ExCleanupRundownProtectionCacheAware                  00000001400589A8 159    
ExCompositionObjectType                               00000001403A61F8 160    
ExConvertExclusiveToSharedLite                        00000001400D59EC 161    
ExConvertPushLockExclusiveToShared                    000000014022651C 162    
ExCoreMessagingObjectType                             00000001403A61F0 163    
ExCreateCallback                                      00000001404FD368 164    
ExDeleteLookasideListEx                               00000001400ECBD4 165    
ExDeleteNPagedLookasideList                           000000014013653C 166    
ExDeletePagedLookasideList                            00000001400ECB6C 167    
ExDeleteResourceLite                                  000000014004B9D0 168    
ExDeleteTimer                                         000000014011E3E4 169    
ExDesktopObjectType                                   00000001403A61E8 170    
ExDisableResourceBoostLite                            00000001401003D4 171    
ExEnterCriticalRegionAndAcquireFastMutexUnsafe        0000000140065710 172    
ExEnterCriticalRegionAndAcquireResourceExclusive      00000001400AC5B0 173    
ExEnterCriticalRegionAndAcquireResourceShared         00000001400D67A0 174    
ExEnterCriticalRegionAndAcquireSharedWaitForExclusive 000000014022791C 175    
ExEnterPriorityRegionAndAcquireResourceExclusive      000000014022794C 176    
ExEnterPriorityRegionAndAcquireResourceShared         00000001400AAC70 177    
ExEnumHandleTable                                     00000001404D0D20 178    
ExEnumerateSystemFirmwareTables                       00000001406AA3DC 179    
ExEventObjectType                                     00000001403A6020 180    
ExExtendZone                                          000000014022860C 181    
ExFetchLicenseData                                    00000001406ACF08 182    
ExFlushLookasideListEx                                00000001400ECC08 183    
ExFreeAutoExpandPushLock                              00000001401230BC 184    
ExFreeCacheAwarePushLock                              00000001400FDC6C 185    
ExFreeCacheAwareRundownProtection                     0000000140012904 186    
ExFreePool                                            000000014024C794 187    
ExFreePoolWithTag                                     000000014024B000 188    
ExGetCurrentProcessorCounts                           00000001400E31D0 189    
ExGetCurrentProcessorCpuUsage                         000000014022652C 190    
ExGetExclusiveWaiterCount                             0000000140227998 191    
ExGetFirmwareEnvironmentVariable                      0000000140564DE4 192    
ExGetLicenseTamperState                               00000001406AD084 193    
ExGetPreviousMode                                     0000000140043990 194    
ExGetSharedWaiterCount                                000000014022799C 195    
ExGetSystemFirmwareTable                              0000000140562754 196    
ExInitializeAutoExpandPushLock                        00000001400E1DA0 197    
ExInitializeLookasideListEx                           00000001400D0298 198    
ExInitializeNPagedLookasideList                       00000001400FF750 199    
ExInitializePagedLookasideList                        00000001404CB1EC 200    
ExInitializePushLock                                  00000001400E5A54 201    
ExInitializeResourceLite                              000000014000BEB0 202    
ExInitializeRundownProtection                         00000001400E5A54 203    
ExInitializeRundownProtectionCacheAware               000000014042A530 204    
ExInitializeRundownProtectionCacheAwareEx             00000001400589A8 205    
ExInitializeZone                                      00000001401362DC 206    
ExInterlockedAddLargeInteger                          0000000140228774 207    
ExInterlockedAddUlong                                 00000001401206EC 208    
ExInterlockedExtendZone                               0000000140228670 209    
ExInterlockedInsertHeadList                           00000001400EB6F8 210    
ExInterlockedInsertTailList                           00000001400D51C0 211    
ExInterlockedPopEntryList                             00000001402287B8 212    
ExInterlockedPushEntryList                            00000001402287F8 213    
ExInterlockedRemoveHeadList                           00000001400D3740 214    
ExIsManufacturingModeEnabled                          0000000140521D10 215    
ExIsProcessorFeaturePresent                           000000014011F9FC 216    
ExIsResourceAcquiredExclusiveLite                     00000001400D6C00 217    
ExIsResourceAcquiredSharedLite                        000000014002D920 218    
ExLocalTimeToSystemTime                               0000000140001A88 219    
ExNotifyBootDeviceRemoval                             00000001402271F0 220    
ExNotifyCallback                                      0000000140006004 221    
ExQueryDepthSList                                     00000001400D6550 222    
ExQueryFastCacheDevLicense                            00000001404FAA34 223    
ExQueryPoolBlockSize                                  0000000140227094 224    
ExQueryTimerResolution                                0000000140226968 225    
ExQueryWnfStateData                                   00000001404F3A84 226    
ExQueueWorkItem                                       00000001400B0D7C 227    
ExRaiseAccessViolation                                00000001406B5498 228    
ExRaiseDatatypeMisalignment                           00000001406B54A8 229    
ExRaiseException                                      000000014020C6E0 230    
ExRaiseHardError                                      00000001406B54B8 231    
ExRaiseStatus                                         00000001400BC4C0 232    
ExRawInputManagerObjectType                           00000001403A6200 233    
ExReInitializeRundownProtection                       000000014011F93C 234    
ExReInitializeRundownProtectionCacheAware             00000001400DD658 235    
ExRealTimeIsUniversal                                 00000001400FB698 236    
ExRegisterBootDevice                                  000000014022723C 237    
ExRegisterCallback                                    000000014011D6A4 238    
ExRegisterExtension                                   0000000140552AFC 239    
ExReinitializeResourceLite                            000000014004AC60 240    
ExReleaseAutoExpandPushLockExclusive                  00000001400DD8C0 241    
ExReleaseAutoExpandPushLockShared                     00000001400D4F40 242    
ExReleaseCacheAwarePushLockExclusive                  00000001400497E0 243    
ExReleaseCacheAwarePushLockExclusiveEx                00000001402276B8 244    
ExReleaseCacheAwarePushLockSharedEx                   0000000140085F70 245    
ExReleaseFastMutex                                    0000000140049AE0 246    
ExReleaseFastMutexUnsafe                              0000000140046870 247    
ExReleaseFastMutexUnsafeAndLeaveCriticalRegion        00000001400D8DA0 248    
ExReleasePushLockEx                                   00000001400AF630 249    
ExReleasePushLockExclusiveEx                          00000001400AF6A0 250    
ExReleasePushLockSharedEx                             00000001400AF980 251    
ExReleaseResourceAndLeaveCriticalRegion               00000001400AC5E0 252    
ExReleaseResourceAndLeavePriorityRegion               00000001402279A0 253    
ExReleaseResourceForThreadLite                        00000001400EC044 254    
ExReleaseResourceLite                                 00000001400ACDB0 255    
ExReleaseRundownProtection                            00000001400D65A0 256    
ExReleaseRundownProtectionCacheAware                  00000001400D6B90 257    
