Name                                                  Address  Ordinal
----                                                  -------  -------
ntoskrnl_1                                            00759C36 1      
ntoskrnl_2                                            0052652C 2      
ntoskrnl_3                                            005108C0 3      
ExAcquireAutoExpandPushLockExclusive                  004DA774 4      
ExAcquireAutoExpandPushLockShared                     004BF820 5      
ExAcquireCacheAwarePushLockExclusiveEx                005EE8EA 6      
ExAcquireCacheAwarePushLockSharedEx                   004BEEF0 7      
ExAcquireFastMutex                                    004735C0 8      
ExAcquireFastMutexUnsafe                              00494EB0 9      
ExAcquirePushLockExclusiveEx                          004A3D80 10     
ExAcquirePushLockSharedEx                             004A3FB0 11     
ExAcquireRundownProtection                            00481890 12     
ExAcquireRundownProtectionCacheAware                  004D1EC0 13     
ExAcquireRundownProtectionCacheAwareEx                0048DB60 14     
ExAcquireRundownProtectionEx                          0048DBB0 15     
ExBlockOnAddressPushLock                              004A0B92 16     
ExBlockPushLock                                       004A0C32 17     
ExEnterCriticalRegionAndAcquireFastMutexUnsafe        004D7940 18     
ExInitializeRundownProtection                         0048C532 19     
ExInterlockedAddLargeStatistic                        0053A54C 20     
ExInterlockedAddUlong                                 005EEB5B 21     
ExInterlockedCompareExchange64                        0053A598 22     
ExInterlockedFlushSList                               00539DD0 23     
ExInterlockedInsertHeadList                           005EEB6B 24     
ExInterlockedInsertTailList                           005EEB7B 25     
ExInterlockedPopEntryList                             005EEB8B 26     
ExInterlockedPopEntrySList                            00539DEC 27     
ExInterlockedPushEntryList                            005EEB95 28     
ExInterlockedPushEntrySList                           00539E44 29     
ExInterlockedRemoveHeadList                           005EEBA5 30     
ExReInitializeRundownProtection                       00513014 31     
ExReInitializeRundownProtectionCacheAware             004C9AC4 32     
ExReleaseAutoExpandPushLockExclusive                  004D8E52 33     
ExReleaseAutoExpandPushLockShared                     004BF9D0 34     
ExReleaseCacheAwarePushLockExclusiveEx                005EE921 35     
ExReleaseCacheAwarePushLockSharedEx                   00458D20 36     
ExReleaseFastMutex                                    00458930 37     
ExReleaseFastMutexUnsafe                              00495040 38     
ExReleaseFastMutexUnsafeAndLeaveCriticalRegion        004BEE80 39     
ExReleasePushLockEx                                   0049BBB0 40     
ExReleasePushLockExclusiveEx                          00458AE0 41     
ExReleasePushLockSharedEx                             00458740 42     
ExReleaseResourceAndLeaveCriticalRegion               00454190 43     
ExReleaseResourceAndLeavePriorityRegion               005EEBFD 44     
ExReleaseResourceLite                                 004547B0 45     
ExReleaseRundownProtection                            004D1E10 46     
ExReleaseRundownProtectionCacheAware                  004D1E60 47     
ExReleaseRundownProtectionCacheAwareEx                004C5FB0 48     
ExReleaseRundownProtectionEx                          005EEB05 49     
ExRundownCompleted                                    00503798 50     
ExRundownCompletedCacheAware                          004C9AFA 51     
ExTimedWaitForUnblockPushLock                         004A0D16 52     
ExTryAcquireAutoExpandPushLockExclusive               005EE492 53     
ExTryAcquireAutoExpandPushLockShared                  005EE53E 54     
ExTryAcquireCacheAwarePushLockExclusiveEx             005EE991 55     
ExTryAcquireCacheAwarePushLockSharedEx                005EEA2A 56     
ExTryAcquirePushLockExclusiveEx                       0049EB50 57     
ExTryAcquirePushLockSharedEx                          004BF070 58     
ExTryConvertPushLockSharedToExclusiveEx               004EAC40 59     
ExTryToAcquireFastMutex                               004DD18E 60     
ExUnblockOnAddressPushLockEx                          005EEABF 61     
ExUnblockPushLockEx                                   004A0AEE 62     
ExWaitForRundownProtectionRelease                     004824AC 63     
ExWaitForRundownProtectionReleaseCacheAware           004C9BFE 64     
ExWaitForUnblockPushLock                              005EEAF8 65     
ExfAcquirePushLockExclusive                           004A42F4 66     
ExfAcquirePushLockShared                              004A4148 67     
ExfInterlockedAddUlong                                005061F6 68     
ExfInterlockedCompareExchange64                       0053A57C 69     
ExfInterlockedInsertHeadList                          004DB436 70     
ExfInterlockedInsertTailList                          004DB488 71     
ExfInterlockedPopEntryList                            005EEE95 72     
ExfInterlockedPushEntryList                           005EEEC2 73     
ExfInterlockedRemoveHeadList                          004DB4D8 74     
ExfReleasePushLock                                    0048A2C0 75     
ExfReleasePushLockExclusive                           0048A390 76     
ExfReleasePushLockShared                              0048A2E0 77     
ExfTryAcquirePushLockShared                           004BF1FE 78     
ExfTryToWakePushLock                                  0048A3EC 79     
ExfUnblockPushLock                                    00533ED4 80     
Exfi386InterlockedDecrementLong                       005EEBAF 81     
